data.name,model,model.N,model.epsilon_theta,model.d_h,model.T_h,model.T_p,model.sample_strategy,model.sample_steps,model.beta_end,n_samples,epoch,best_epoch,batch_size,lr,wd,early_stop,is_test,log_time,mae,rmse,mape,crps,mis,time,model_path,log_path,forecast_path
PM,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,42,32,0.002,1e-05,10,False,16:24:20,9.764633,13.147888,10.773008,0.07920551927466142,153.72615,56.28172311099979,/content/drive/MyDrive/DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PM+0.0+False+False+0.002+32N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,/content/drive/MyDrive/DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PM+0.0+False+False+0.002+32.log,/content/drive/MyDrive/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PM+0.0+False+False+0.002+32.pkl
PM25,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,2,32,0.002,1e-05,10,False,17:4:10,34.951103,44.36314,37.089954,0.34047478123715047,264.21902,3.331215233999501,/content/drive/MyDrive/DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PM25+0.0+False+False+0.002+32N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,/content/drive/MyDrive/DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PM25+0.0+False+False+0.002+32.log,/content/drive/MyDrive/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PM25+0.0+False+False+0.002+32.pkl
PM,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,42,32,0.002,1e-05,10,False,21:35:53,9.764633,13.147888,10.773008,0.07920551927466142,153.72615,61.517198785000346,/content/drive/MyDrive/DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PM+0.0+False+False+0.002+32N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,/content/drive/MyDrive/DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PM+0.0+False+False+0.002+32.log,/content/drive/MyDrive/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PM+0.0+False+False+0.002+32.pkl
